,City Name,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed,Lat,Lng
92,Torbay,90,CA,1547521200,79,24.8,8.05,47.66,-52.73
93,Jamestown,36,AU,1547524107,41,98.53,6.62,-33.21,138.6
94,Lompoc,75,US,1547523300,87,55.94,3.36,34.64,-120.46
95,Nyamati,0,IN,1547525483,61,64.06,6.96,14.15,75.58
96,Aykhal,0,RU,1547525486,0,-56.54,2.71,65.95,111.51
97,Chuy,92,UY,1547524867,98,70.9,7.74,-33.69,-53.46
98,Kyabe,12,TD,1547525491,33,65.95,7.4,9.45,18.94
99,Bluff,0,AU,1547524442,40,93.13,11.43,-23.58,149.07
100,Ixtapa,90,MX,1547520420,78,75.2,3.36,20.71,-105.21
101,Udachnyy,0,RU,1547525194,0,-58.16,2.37,66.42,112.4
102,Kavieng,68,PG,1547525178,100,81.79,6.96,-2.57,150.8
103,Atuona,68,PF,1547524370,100,81.25,15.68,-9.8,-139.03
104,Qaqortoq,88,GL,1547520600,74,28.4,1.12,60.72,-46.03
105,Lasa,75,CY,1547523000,87,60.8,17.22,34.92,32.53
106,Iqaluit,90,CA,1547524140,77,-2.21,8.05,63.75,-68.52
107,Lavrentiya,92,RU,1547525512,96,28.06,24.29,65.58,-170.99
108,Westport,92,IE,1547525514,98,48.49,16.02,53.8,-9.52
109,Cabinda,32,AO,1547525517,100,79.99,3.71,-5.56,12.19
110,Pangody,80,RU,1547525522,76,11.23,5.39,65.85,74.49
111,Pak Phanang,40,TH,1547521200,70,84.2,3.36,8.35,100.2
112,Ayan,88,TR,1547525527,92,30.4,2.71,40.67,33.6
113,Victoria,75,BN,1547523000,74,86.0,3.36,5.28,115.24
114,Nuuk,56,GL,1547520600,85,14.0,6.93,64.17,-51.74
115,Galveston,90,US,1547524500,87,23.0,4.7,40.58,-86.19
116,Saskylakh,0,RU,1547525177,0,-56.18,6.17,71.97,114.09
117,Shebunino,90,RU,1547523000,86,28.4,13.42,57.66,40.04
118,Lorengau,56,PG,1547525115,96,84.49,11.88,-2.02,147.27
119,Hasaki,75,JP,1547523000,100,44.6,5.82,35.73,140.83
120,Sitka,0,US,1547525572,75,29.59,2.82,37.17,-99.65
121,Lucapa,88,AO,1547525201,97,66.58,4.05,-8.42,20.74
122,Sobolevo,76,RU,1547525185,91,26.98,14.67,54.43,31.9
123,Kerouane,0,GN,1547521200,56,73.4,3.38,12.23,-12.34
124,Kunya,0,NG,1547521200,47,55.4,2.24,12.22,8.53
125,Kruisfontein,0,ZA,1547525113,94,62.17,6.73,-34.0,24.73
126,Muscat,0,OM,1547520600,82,66.2,4.7,23.6,58.55
127,Bathsheba,40,BB,1547521200,78,77.0,14.99,13.22,-59.52
128,Mount Isa,40,AU,1547523000,27,98.6,5.82,-20.73,139.49
129,Bonavista,0,CA,1547525594,100,21.4,10.65,48.65,-53.11
130,Serebryansk,8,KZ,1547525597,55,7.9,4.5,49.68,83.3
131,Bondoukou,0,CI,1547525600,64,70.45,5.61,8.04,-2.8
132,Klaksvik,48,FO,1547522400,75,41.0,27.51,62.23,-6.59
133,Longyearbyen,20,NO,1547520600,71,3.2,3.36,78.22,15.63
134,Kuching,75,MY,1547523000,66,87.8,4.7,1.56,110.34
135,Thinadhoo,32,MV,1547525611,100,81.25,4.61,0.53,72.93
136,Nyurba,0,RU,1547525614,88,-40.34,2.71,63.29,118.35
137,Kimbe,12,PG,1547525616,98,84.04,5.17,-5.56,150.15
138,Bastia,0,IT,1547524200,19,55.4,6.93,44.6,8.98
139,Souillac,90,FR,1547523000,93,39.2,2.24,45.6,-0.6
140,Roros,68,NO,1547524200,85,17.6,9.17,62.57,11.38
141,Saldanha,56,PT,1547524561,90,25.09,3.38,41.42,-6.55
142,Vikesa,75,NO,1547524200,94,32.0,6.93,58.64,6.09
143,Margate,0,AU,1547523000,44,77.0,19.46,-43.03,147.26
144,Auch,90,FR,1547523000,87,42.8,2.71,43.65,0.59
145,Siocon,12,PH,1547525641,92,81.79,15.79,11.03,124.04
146,Alyangula,75,AU,1547521200,49,93.2,10.29,-13.85,136.42
147,Hofn,0,IS,1547525647,100,35.26,8.63,64.25,-15.21
148,Lebu,0,ET,1547521200,43,50.0,5.82,8.96,38.73
149,Port Hardy,5,CA,1547521200,87,33.8,3.36,50.7,-127.42
150,Hithadhoo,88,MV,1547524582,100,82.33,4.16,-0.6,73.08
151,Rafraf,20,TN,1547523000,71,55.4,13.87,37.19,10.18
152,Borba,64,PT,1547525659,77,31.57,3.49,38.81,-7.46
153,Katsuura,75,JP,1547521200,75,44.6,9.17,33.93,134.5
154,Tamiahua,92,MX,1547525666,100,66.94,6.17,21.28,-97.45
155,Aras,0,YE,1547525669,40,28.78,2.26,14.28,44.38
156,Chokurdakh,56,RU,1547525194,44,-27.56,3.15,70.62,147.9
157,Cooma,0,AU,1547521200,16,96.8,12.75,-36.24,149.13
158,Necochea,92,AR,1547525678,71,68.2,10.76,-38.55,-58.74
159,Port Lincoln,76,AU,1547525181,60,79.81,7.52,-34.72,135.86
160,Jining,76,CN,1547525683,30,27.34,19.82,35.41,116.58
161,Uthal,0,PK,1547525686,77,50.56,3.38,25.81,66.62
162,Pangoa,48,PE,1547525688,97,63.52,2.04,-12.12,-73.0
163,Muroto,75,JP,1547524800,66,53.6,9.17,33.37,134.14
164,Aklavik,20,CA,1547521200,68,-16.61,6.93,68.22,-135.01
165,Port Elizabeth,1,US,1547520960,68,28.04,4.7,39.31,-74.98
166,Pemba,75,MZ,1547524800,94,77.0,4.7,-12.97,40.52
167,Faanui,76,PF,1547525711,100,82.78,17.47,-16.48,-151.75
168,Ponta do Sol,56,BR,1547524856,80,69.37,4.27,-20.63,-46.0
169,Itarema,20,BR,1547525131,97,72.88,2.93,-2.92,-39.92
170,Tignere,8,CM,1547525718,53,54.79,5.17,7.37,12.65
171,Marzuq,0,YE,1547525721,73,33.28,2.93,14.4,46.47
172,Tuatapere,0,NZ,1547525812,82,61.36,7.4,-46.13,167.69
173,Nikki,0,BJ,1547525729,51,60.19,3.71,9.94,3.21
174,Piacabucu,80,BR,1547525732,87,76.84,10.2,-10.41,-36.43
175,Melfort,90,CA,1547521200,92,23.0,10.29,52.87,-104.61
176,Cape Town,0,ZA,1547521200,82,59.0,3.36,-33.93,18.42
177,Pampierstad,0,ZA,1547525739,27,67.21,9.86,-27.78,24.69
178,Ozerna,0,UA,1547525742,84,20.23,14.23,49.64,30.13
179,Korop,32,UA,1547525744,89,25.0,15.35,51.57,32.95
180,Moose Factory,1,CA,1547521200,76,-7.61,4.7,51.26,-80.61
181,Bandarbeyla,76,SO,1547525159,100,75.67,15.35,9.49,50.81
182,Nabire,32,ID,1547525752,80,80.44,2.37,-3.36,135.5
183,Buraydah,75,SA,1547521200,47,55.4,6.93,26.33,43.97
184,Axim,36,GH,1547525690,100,81.7,11.65,4.87,-2.24
185,Mehran,20,IR,1547524800,100,33.8,4.7,33.12,46.17
186,Xining,0,CN,1547525763,66,9.79,3.15,36.62,101.77
187,Puerto Quijarro,20,BO,1547525769,76,79.54,2.59,-19.0,-57.72
188,Pacific Grove,1,US,1547524500,89,51.8,5.82,36.62,-121.92
189,Tandil,100,AR,1547525778,72,69.73,9.64,-37.33,-59.14
190,Talaya,0,RU,1547523000,66,15.8,11.18,55.79,84.89
191,Tual,8,ID,1547525790,100,81.97,9.42,-5.67,132.75
192,Valparaiso,75,US,1547524500,92,24.08,6.93,41.47,-87.06
193,Correntina,92,BR,1547525797,50,79.18,6.73,-13.34,-44.63
194,Ulagan,0,RU,1547525799,28,-24.14,2.15,50.63,87.96
195,Yacuiba,92,AR,1547525888,98,71.8,2.93,-22.01,-63.68
196,Pangnirtung,64,CA,1547525726,66,-15.14,4.38,66.15,-65.72
197,Harper,90,US,1547524500,78,44.96,6.73,30.3,-99.24
198,Pinheiro,64,BR,1547525813,99,71.98,2.59,-2.53,-45.09
199,Yulara,0,AU,1547521200,8,109.4,11.41,-25.24,130.99
200,Bilecik,75,TR,1547524200,100,39.2,1.12,40.14,29.98
201,San Patricio,0,PY,1547525761,79,80.17,4.83,-26.98,-56.83
202,Jodhpur,8,IN,1547525832,55,44.44,3.04,26.3,73.04
203,Preobrazheniye,56,RU,1547525922,79,27.61,2.59,42.9,133.91
204,Mangan,0,IN,1547525840,44,14.02,2.37,27.5,88.54
205,Padang,92,ID,1547525755,100,76.66,3.04,-0.92,100.36
206,Belaya Kalitva,88,RU,1547525847,98,34.99,8.63,48.18,40.79
207,Usti nad Orlici,90,CZ,1547524080,92,30.2,13.87,49.97,16.39
208,Sloboda,64,RU,1547525852,82,10.96,4.61,57.03,59.56
209,Kalevala,88,FI,1547525855,86,22.66,7.18,64.12,29.58
210,San Cristobal,40,EC,1547524800,100,55.4,3.36,-0.39,-78.55
211,Mattru,0,SL,1547525865,81,75.4,4.94,7.62,-11.83
212,Tiksi,36,RU,1547525714,76,-37.73,3.38,71.64,128.87
213,Bethel,90,US,1547524560,69,41.0,23.04,60.79,-161.76
214,Kyren,0,RU,1547525881,46,-19.01,2.15,51.68,102.13
215,Dangriga,36,BZ,1547525886,96,75.58,9.64,16.97,-88.23
216,Wuhu,90,CN,1547521200,93,41.0,4.47,31.35,118.43
217,Salinas,1,US,1547524500,89,51.8,5.82,36.67,-121.66
218,Mar del Plata,32,AR,1547525715,26,70.63,16.02,-46.43,-67.52
219,Kokstad,92,ZA,1547525671,98,63.07,2.71,-30.55,29.42
220,Vao,56,EE,1547525721,86,24.1,6.96,59.1,26.19
221,Cherskiy,24,RU,1547525729,49,-29.54,4.94,68.75,161.3
222,Eyl,92,SO,1547525912,100,71.71,14.56,7.98,49.82
223,San Ramon,100,NI,1547525915,90,65.77,2.93,12.92,-85.84
224,Namwala,92,ZM,1547525920,100,65.32,9.98,-15.75,26.45
225,Egvekinot,80,RU,1547525922,72,-11.81,3.27,66.32,-179.17
226,Nantucket,1,US,1547524500,95,28.94,5.82,41.28,-70.1
227,Sampit,48,ID,1547525929,99,81.79,6.73,-2.54,112.95
228,Batagay,8,RU,1547525864,0,-63.83,2.93,67.65,134.64
229,Derzhavinsk,88,KZ,1547525934,95,23.56,7.63,51.1,66.31
230,Pitimbu,20,BR,1547524800,88,75.2,4.7,-7.47,-34.81
231,Bereda,68,ES,1547523000,99,32.0,3.36,43.27,-7.54
232,Lagoa,0,PT,1547523000,86,39.2,3.36,37.14,-8.45
233,Bolu,36,TR,1547525947,89,28.96,4.16,40.73,31.61
234,Nikolskoye,90,RU,1547524800,92,28.4,6.71,59.7,30.79
235,Touros,20,BR,1547524800,88,77.0,4.7,-5.2,-35.46
236,Nanga Eboko,24,CM,1547525954,91,70.81,9.64,4.68,12.37
237,Popondetta,32,PG,1547525956,100,75.67,2.37,-8.77,148.24
238,Chimbote,56,PE,1547525959,96,69.37,7.63,-9.08,-78.59
239,Whitehorse,90,CA,1547523900,85,10.4,2.24,60.72,-135.06
240,Vanimo,24,PG,1547525964,99,83.14,18.7,-2.67,141.3
241,Petropavlovsk-Kamchatskiy,20,RU,1547523000,67,17.6,6.71,53.05,158.65
242,Bambanglipuro,8,ID,1547525968,83,83.14,5.95,-7.95,110.28
243,Aulla,0,IT,1547523900,44,41.0,3.36,44.21,9.97
244,Waingapu,88,ID,1547525973,89,80.98,6.51,-9.65,120.26
245,Surt,0,LY,1547525976,100,54.25,22.84,31.21,16.59
246,Joutseno,90,FI,1547524200,98,32.0,1.12,61.11,28.48
247,Havoysund,0,NO,1547524200,85,21.2,8.05,71.0,24.66
248,Brenham,90,US,1547524500,77,49.46,5.82,30.17,-96.4
249,Miri,0,NG,1547525990,59,54.79,3.27,10.31,9.75
250,Cabo San Lucas,90,MX,1547523720,88,66.2,4.7,22.89,-109.91
251,Kudahuvadhoo,68,MV,1547525734,100,82.15,9.86,2.67,72.89
252,Ostrovnoy,56,RU,1547526165,77,10.33,3.15,68.05,39.51
253,Bubaque,0,GW,1547526170,100,77.74,6.17,11.28,-15.83
254,Ovre Ardal,20,NO,1547526173,68,7.0,2.71,61.32,7.8
255,Faya,0,SA,1547524800,15,51.8,2.26,18.39,42.45
256,Ginda,0,IN,1547526092,83,24.73,1.59,30.69,78.49
257,Los Llanos de Aridane,0,ES,1547524800,63,62.6,9.17,28.66,-17.92
258,Hamilton,75,BM,1547524500,68,66.2,20.8,32.3,-64.78
259,Manado,40,ID,1547524800,94,73.4,3.36,1.49,124.85
260,San Jeronimo,80,PE,1547526106,90,46.33,1.81,-13.65,-73.37
261,Eckernforde,92,DE,1547524200,86,41.0,14.99,54.47,9.83
262,Ponta Delgada,20,PT,1547523000,77,59.0,3.36,37.73,-25.67
263,Zemio,32,CF,1547526113,73,73.33,5.95,5.02,25.13
264,Fukuma,75,JP,1547524800,57,51.8,11.41,33.77,130.47
265,Vanavara,56,RU,1547526118,66,-9.38,4.05,60.35,102.28
266,Saint Anthony,1,US,1547524560,79,6.08,5.82,43.97,-111.68
267,Tuktoyaktuk,5,CA,1547521200,75,-14.81,9.17,69.44,-133.03
268,Changli,48,CN,1547526128,88,43.09,11.21,30.54,105.42
269,Nagua,0,DO,1547526131,94,73.96,6.96,19.37,-69.85
270,Dapdap,24,PH,1547526142,93,80.89,12.21,14.05,121.57
271,Ancud,24,CL,1547524800,87,48.2,3.36,-41.87,-73.83
272,Bambous Virieux,40,MU,1547524800,66,84.2,10.29,-20.34,57.76
273,Warwick,40,US,1547524560,84,21.02,4.7,41.7,-71.42
274,Port Moresby,40,PG,1547524800,59,89.6,11.41,-9.47,147.16
275,Flinders,0,AU,1547524800,58,87.8,11.41,-34.58,150.85
276,Mount Gambier,0,AU,1547524800,30,100.4,10.29,-37.83,140.78
277,Zhigansk,8,RU,1547526166,69,-35.75,2.82,66.77,123.37
278,Cap Malheureux,40,MU,1547524800,66,84.2,10.29,-19.98,57.61
279,Cabedelo,20,BR,1547524800,88,75.2,4.7,-6.97,-34.84
280,Chumikan,12,RU,1547526173,66,-4.34,3.83,54.72,135.31
281,Katav-Ivanovsk,20,RU,1547526175,74,-1.19,2.26,54.75,58.21
282,Mackenzie,40,CA,1547524380,100,24.8,2.24,55.34,-123.09
283,Tura,0,IN,1547526180,89,58.57,2.71,25.52,90.21
284,Basoko,64,CD,1547526183,92,73.69,3.15,1.23,23.61
285,Rumford,1,US,1547524560,86,10.94,2.15,44.55,-70.55
286,Porbandar,0,IN,1547524800,30,71.6,11.41,21.64,69.61
287,Varhaug,75,NO,1547524200,100,32.0,6.93,58.61,5.65
288,Rocha,92,UY,1547526193,90,70.09,8.19,-34.48,-54.34
289,Bolobo,88,CD,1547526195,100,71.17,2.37,-2.17,16.23
290,Emerald,0,AU,1547524800,30,93.2,3.36,-23.53,148.16
291,Thaba Nchu,0,ZA,1547524800,45,64.4,3.36,-29.2,26.83
292,Kutum,8,SD,1547526203,78,47.86,5.17,14.2,24.66
293,Constitucion,90,MX,1547520480,41,60.8,9.17,23.99,-104.67
294,Akureyri,90,IS,1547524800,100,23.0,2.24,65.68,-18.09
295,Maumere,100,ID,1547526210,100,78.64,6.73,-8.63,122.22
296,Key West,90,US,1547525700,85,17.96,8.05,47.93,-96.78
297,Bonfim,0,GY,1547526215,63,81.07,15.46,3.36,-59.84
298,Geraldton,40,CA,1547524800,83,-5.81,3.38,49.72,-86.95
299,Chernyshevskiy,20,RU,1547526220,58,-33.32,4.38,63.01,112.47
300,Ushtobe,24,KZ,1547526223,60,13.57,3.15,45.25,77.98
301,Mujiayingzi,0,CN,1547526225,22,6.64,13.11,42.12,118.78
302,Volodarsk,88,UA,1547526227,99,33.82,10.98,48.13,39.59
303,Muros,56,ES,1547523000,93,41.0,3.36,42.77,-9.06
304,Birjand,75,IR,1547524800,35,42.8,11.43,32.86,59.22
305,Erzin,75,TR,1547524200,100,44.6,21.92,36.95,36.2
306,Mahebourg,40,MU,1547524800,66,84.2,10.29,-20.41,57.7
307,Bago,20,MM,1547524800,54,82.4,4.7,17.34,96.48
308,Isparta,75,TR,1547524200,93,37.4,3.36,37.77,30.56
309,Sovetskiy,88,RU,1547526251,91,18.61,12.55,56.76,48.47
310,Baglan,90,GB,1547524200,87,48.2,13.87,51.62,-3.81
311,Walvis Bay,88,NA,1547521200,82,66.2,4.7,-22.95,14.51
312,Chikitigarh,24,IN,1547526264,62,71.89,4.27,19.2,84.62
313,Sharjah,0,AE,1547524800,73,73.4,8.05,25.36,55.39
314,Sheregesh,0,RU,1547526269,43,-15.23,2.26,52.93,87.98
315,Callaguip,20,PH,1547524800,65,82.4,6.93,18.07,120.49
316,Erenhot,0,CN,1547526273,47,-3.71,10.09,43.65,111.97
317,Vostok,64,RU,1547526276,80,15.64,1.59,46.45,135.83
318,Mundargi,0,IN,1547526281,66,64.33,4.72,15.22,75.9
319,Boda,0,BD,1547526284,76,56.86,2.26,26.2,88.56
320,Fortuna,0,ES,1547524800,75,41.0,5.82,38.18,-1.13
321,San Quintin,0,PH,1547526294,55,80.08,1.7,17.54,120.52
322,Talcahuano,0,CL,1547524800,93,59.0,3.36,-36.72,-73.12
323,Ambilobe,44,MG,1547526299,90,72.97,3.38,-13.19,49.05
324,Ketchikan,90,US,1547524980,95,46.94,7.4,55.34,-131.65
325,Turbat,0,PK,1547526304,82,49.48,3.15,26.0,63.05
326,Xinzhi,75,TW,1547524800,69,78.8,6.93,22.54,120.62
327,Rio Grande,80,BR,1547526295,98,75.13,4.16,-32.03,-52.1
328,Port Keats,64,AU,1547526311,90,88.0,2.71,-14.25,129.55
329,Chicama,75,PE,1547524800,88,71.6,8.05,-7.84,-79.15
330,Beloha,48,MG,1547526316,84,75.67,3.27,-25.17,45.06
331,Coihaique,0,CL,1547524800,53,53.6,3.36,-45.58,-72.07
332,Alpine,90,US,1547525700,80,32.0,8.05,43.07,-85.69
333,Wasilla,1,US,1547524680,48,33.08,6.93,61.58,-149.44
334,Baghdad,0,IQ,1547524800,70,46.4,8.05,33.3,44.38
335,Alberdi,0,AR,1547524800,88,80.6,5.82,-26.19,-58.14
336,Paita,76,PE,1547526331,82,73.33,6.62,-5.09,-81.11
337,Garavuti,75,TJ,1547524800,75,46.4,2.24,37.57,68.45
338,Saint-Augustin,90,FR,1547524800,81,44.6,3.36,44.83,-0.61
339,Binzhou,0,CN,1547526338,33,27.34,19.04,37.38,117.96
340,Mayo,75,CA,1547524800,75,-18.41,2.59,63.59,-135.9
341,Dingle,44,PH,1547526346,70,81.16,16.13,11.0,122.67
342,San Antonio,0,CL,1547524800,87,57.2,5.82,-33.58,-71.61
343,Somerville,1,US,1547525700,80,32.0,4.38,40.57,-74.61
344,Grindavik,75,IS,1547524800,100,35.6,13.87,63.84,-22.43
345,Monrovia,20,LR,1547524800,94,73.4,4.72,6.33,-10.8
346,Okitipupa,20,NG,1547526359,94,73.96,1.25,6.5,4.78
347,Hobyo,92,SO,1547526362,84,75.49,16.02,5.35,48.53
348,Bahia Honda,24,CU,1547526369,90,68.83,6.17,22.9,-83.16
349,Osakarovka,20,KZ,1547526374,76,15.46,8.41,50.56,72.58
350,Iberia,80,PE,1547526379,93,75.13,2.37,-11.41,-69.49
351,Northam,92,GB,1547520600,81,48.2,12.75,51.04,-4.21
352,Luderitz,0,NA,1547526384,76,60.37,10.31,-26.65,15.16
353,Clyde River,90,CA,1547524800,74,-25.61,5.82,70.47,-68.59
354,Saint-Philippe,90,CA,1547525820,78,15.8,6.93,45.36,-73.48
355,Tasiilaq,64,GL,1547524200,66,10.4,21.92,65.61,-37.64
356,Comodoro Rivadavia,0,AR,1547524800,15,73.4,18.34,-45.87,-67.48
357,Kiama,0,AU,1547524800,58,87.8,11.41,-34.67,150.86
358,Namatanai,68,PG,1547526398,100,82.51,10.98,-3.66,152.44
359,Guatire,20,VE,1547524800,74,78.8,2.26,10.47,-66.54
360,Marsh Harbour,44,BS,1547526227,100,73.69,8.19,26.54,-77.06
361,Verkhnevilyuysk,12,RU,1547526406,73,-37.01,2.93,63.45,120.31
362,Coachella,90,US,1547525700,85,53.06,5.82,33.68,-116.18
363,Mahon,75,IE,1547524800,100,44.6,9.17,51.89,-8.4
364,Otukpo,8,NG,1547526413,84,75.13,7.4,7.19,8.13
365,Blagoyevo,88,RU,1547526415,76,20.41,7.18,63.37,47.92
366,Sirnak,88,TR,1547526418,97,27.43,1.92,37.52,42.46
367,La Romana,20,DO,1547524800,73,75.2,5.82,18.43,-68.97
368,Pandharpur,0,IN,1547526423,62,69.01,4.72,17.68,75.33
369,Hjelset,92,NO,1547524200,100,32.0,10.29,62.78,7.5
370,Dunedin,80,NZ,1547526141,86,60.37,3.94,-45.87,170.5
371,Bardstown,75,US,1547525400,92,31.1,2.93,37.81,-85.47
372,Vila Franca do Campo,20,PT,1547523000,77,59.0,3.36,37.72,-25.43
373,Merauke,80,ID,1547526435,93,84.04,4.94,-8.49,140.4
